dataset,modelId,label,action,outcome,result,entryScore,confidence,grade,risk,distanceAtCommit
Genesis-019,core_v30,Core V30,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,v31_active,V31 Active,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,v32_regime,V32 Regime,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,v33_pro,V33 Pro Trader,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,six_minute_commit,6m Commit,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,late_catch,Late Catch,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,trend_continuation,Trend Follow,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,97,82,A,Low,301.9099999999962
Genesis-019,odds_pressure,Odds Pressure,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,meta_judge,Meta Judge,OVER,OVER,win,97,82,A,Low,301.9099999999962
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,v31_active,V31 Active,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,late_catch,Late Catch,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,38,63,C,Low,-94.72999999999593
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,v31_active,V31 Active,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,late_catch,Late Catch,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,31,68,C,Low,-57.919999999998254
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,76,78,B,Low,20.43000000000029
Genesis-019,v31_active,V31 Active,OVER,OVER,win,76,78,B,Low,20.43000000000029
Genesis-019,v32_regime,V32 Regime,OVER,OVER,win,76,78,B,Low,20.43000000000029
Genesis-019,v33_pro,V33 Pro Trader,OVER,OVER,win,76,78,B,Low,20.43000000000029
Genesis-019,six_minute_commit,6m Commit,OVER,OVER,win,76,78,B,Low,20.43000000000029
Genesis-019,late_catch,Late Catch,OVER,OVER,win,76,78,B,Low,20.43000000000029
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,76,78,B,Low,20.43000000000029
Genesis-019,snapback_reversal,Snapback Guard,OVER,OVER,win,76,78,B,Low,20.43000000000029
Genesis-019,odds_pressure,Odds Pressure,OVER,OVER,win,76,78,B,Low,20.43000000000029
Genesis-019,meta_judge,Meta Judge,OVER,OVER,win,76,78,B,Low,20.43000000000029
Genesis-019,core_v30,Core V30,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,v31_active,V31 Active,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,v32_regime,V32 Regime,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,v33_pro,V33 Pro Trader,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,six_minute_commit,6m Commit,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,late_catch,Late Catch,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,trend_continuation,Trend Follow,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,95,82,A+,Low,164.2699999999968
Genesis-019,odds_pressure,Odds Pressure,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,meta_judge,Meta Judge,OVER,OVER,win,95,82,A+,Low,164.2699999999968
Genesis-019,core_v30,Core V30,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,v31_active,V31 Active,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,v32_regime,V32 Regime,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,v33_pro,V33 Pro Trader,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,six_minute_commit,6m Commit,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
Genesis-019,late_catch,Late Catch,UNDER,OVER,loss,4,82,A+,Low,-114.77999999999884
